               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10814,            0.068695,            0.038281,            0.013591,             0.55164,            0.032842,           0.0074838,            0.095048,             0.07896,            0.038661,            0.070789,           0.0032456,           0.0032456
                   1,            0.085349,            0.081915,            0.034195,             0.44085,               0.154,            0.072877,            0.021784,            0.083599,            0.082959,            0.039142,            0.040768,           0.0065572,           0.0065572
                   2,             0.07919,            0.071609,            0.029759,            0.065145,             0.44986,            0.073982,            0.016384,            0.092329,            0.080376,            0.044015,            0.010724,           0.0098469,           0.0098469
                   3,            0.079742,            0.072777,            0.031486,             0.46839,             0.24264,             0.13515,             0.03175,            0.088628,            0.066579,            0.037679,            0.009901,            0.009901,            0.009901
                   4,            0.076963,            0.081811,            0.028785,             0.58407,              0.2597,             0.22736,            0.061853,            0.078198,            0.067997,            0.033801,            0.009901,            0.009901,            0.009901
                   5,            0.071756,            0.081864,            0.028162,             0.60339,             0.21224,             0.19856,            0.075898,            0.075682,             0.06526,            0.030459,            0.009868,            0.009868,            0.009868
                   6,            0.067253,            0.075136,            0.024852,             0.53264,             0.24706,             0.16648,            0.055617,            0.071302,            0.066534,            0.028196,            0.009835,            0.009835,            0.009835
                   7,            0.064365,            0.064522,            0.022704,             0.56658,             0.31762,             0.26129,             0.10472,             0.06692,            0.064579,            0.027136,            0.009802,            0.009802,            0.009802
                   8,             0.06902,            0.073464,            0.020702,             0.61491,             0.37015,             0.33134,             0.12688,            0.060808,            0.063502,            0.024456,            0.009769,            0.009769,            0.009769
                   9,            0.059558,             0.06759,            0.018187,             0.64867,             0.40991,              0.3787,             0.17047,            0.058206,            0.063939,            0.021598,            0.009736,            0.009736,            0.009736
                  10,            0.053512,            0.069426,            0.016129,             0.69757,              0.4192,             0.42885,             0.20235,            0.054198,            0.063823,            0.019822,            0.009703,            0.009703,            0.009703
                  11,             0.05566,            0.069382,            0.014544,             0.69498,             0.40656,             0.41482,             0.19097,            0.055194,            0.064087,            0.019986,             0.00967,             0.00967,             0.00967
                  12,            0.054178,            0.065592,            0.012697,             0.59715,             0.37987,             0.29972,             0.12701,            0.059716,            0.062483,            0.019261,            0.009637,            0.009637,            0.009637
                  13,            0.057347,            0.065724,            0.012357,             0.69697,             0.42918,             0.41794,             0.20599,            0.052973,            0.062574,            0.018513,            0.009604,            0.009604,            0.009604
                  14,            0.052975,            0.066139,            0.012018,             0.69453,             0.39136,              0.4192,             0.19542,            0.056811,            0.064359,            0.018253,            0.009571,            0.009571,            0.009571
                  15,            0.052841,            0.066937,             0.01219,             0.69236,              0.4046,             0.42465,             0.21584,            0.056483,             0.06239,            0.018663,            0.009538,            0.009538,            0.009538
                  16,            0.056677,            0.064429,            0.012177,             0.75363,             0.42245,             0.47152,             0.21164,            0.057362,            0.063268,             0.01798,            0.009505,            0.009505,            0.009505
                  17,            0.053826,            0.064959,            0.012429,             0.80148,             0.48994,             0.52153,             0.24313,            0.055129,             0.06259,            0.016719,            0.009472,            0.009472,            0.009472
                  18,            0.053237,            0.065285,            0.011815,             0.82417,             0.49552,             0.55489,             0.28678,             0.05358,            0.061209,            0.015761,            0.009439,            0.009439,            0.009439
                  19,             0.05191,            0.059518,             0.01197,             0.76698,             0.49551,             0.52981,             0.26271,            0.051575,            0.061857,            0.015428,            0.009406,            0.009406,            0.009406
                  20,            0.050132,            0.063445,            0.010177,             0.73449,             0.46653,              0.4939,             0.22768,            0.052706,            0.062978,            0.015963,            0.009373,            0.009373,            0.009373
                  21,            0.050056,            0.067633,           0.0088343,             0.81706,             0.48715,             0.57183,             0.28368,             0.04631,            0.063532,            0.015345,             0.00934,             0.00934,             0.00934
                  22,             0.04738,            0.063392,            0.010307,             0.77099,             0.49986,             0.55041,             0.27258,            0.047241,             0.06415,            0.015352,            0.009307,            0.009307,            0.009307
                  23,            0.045709,            0.061973,            0.011046,             0.75351,             0.46594,             0.54207,             0.28809,             0.04926,            0.062566,            0.014888,            0.009274,            0.009274,            0.009274
                  24,            0.050742,            0.065229,            0.010545,             0.85357,             0.47778,             0.60547,             0.30804,             0.04682,             0.06302,            0.014453,            0.009241,            0.009241,            0.009241
                  25,            0.043054,            0.059991,           0.0097091,             0.85205,             0.54664,             0.63569,             0.31842,            0.044246,            0.063588,             0.01413,            0.009208,            0.009208,            0.009208
                  26,            0.044556,             0.06414,           0.0091612,             0.87302,             0.52815,             0.64108,             0.33515,            0.043717,            0.064015,            0.014757,            0.009175,            0.009175,            0.009175
                  27,            0.044932,            0.059572,            0.008822,             0.87913,             0.48412,             0.63521,             0.33154,            0.046538,            0.064219,            0.014213,            0.009142,            0.009142,            0.009142
                  28,             0.04334,            0.061549,           0.0082936,              0.8653,             0.50476,             0.61835,              0.3265,            0.045453,            0.065353,            0.014122,            0.009109,            0.009109,            0.009109
                  29,            0.043729,             0.06509,           0.0099316,             0.60478,             0.56899,             0.62501,              0.3225,            0.045831,            0.063211,            0.013657,            0.009076,            0.009076,            0.009076
                  30,            0.044813,            0.058182,            0.010096,             0.88515,             0.51359,             0.62449,             0.32739,            0.045323,            0.062852,            0.013666,            0.009043,            0.009043,            0.009043
                  31,            0.043377,            0.065452,           0.0099853,             0.67278,             0.55134,             0.63504,             0.30668,            0.051128,            0.063458,            0.013914,             0.00901,             0.00901,             0.00901
                  32,            0.049487,            0.066862,           0.0089668,             0.68774,             0.60246,             0.66153,             0.35121,            0.044648,            0.063116,            0.013826,            0.008977,            0.008977,            0.008977
                  33,            0.042679,              0.0609,           0.0096427,             0.68606,             0.63604,             0.67623,             0.35665,            0.042724,            0.062552,            0.013697,            0.008944,            0.008944,            0.008944
                  34,            0.041944,            0.060882,           0.0079544,             0.63586,             0.64106,             0.65658,             0.34634,             0.04321,            0.063626,            0.013639,            0.008911,            0.008911,            0.008911
                  35,            0.042969,            0.062361,           0.0080843,             0.57985,              0.6224,             0.66721,             0.32969,            0.045861,            0.062605,            0.013196,            0.008878,            0.008878,            0.008878
                  36,              0.0421,             0.05635,           0.0079679,             0.65331,             0.68021,             0.71276,             0.38093,            0.042091,            0.063655,            0.012863,            0.008845,            0.008845,            0.008845
                  37,            0.043305,            0.062267,           0.0073287,             0.65109,             0.67372,             0.72598,             0.39126,             0.04448,            0.063829,            0.012173,            0.008812,            0.008812,            0.008812
                  38,            0.041324,            0.059511,           0.0068716,             0.69009,               0.666,             0.69094,             0.34393,            0.045542,            0.064362,            0.012015,            0.008779,            0.008779,            0.008779
                  39,            0.041723,            0.060499,           0.0074325,             0.73997,             0.65237,             0.72116,             0.35945,            0.043569,            0.065584,            0.012095,            0.008746,            0.008746,            0.008746
                  40,             0.04119,            0.061616,            0.007673,             0.75022,             0.67162,             0.71424,             0.38591,            0.043758,            0.063208,            0.012139,            0.008713,            0.008713,            0.008713
                  41,            0.041526,            0.059127,           0.0070505,             0.67358,              0.6668,             0.67683,             0.33858,            0.045349,            0.062486,            0.011658,             0.00868,             0.00868,             0.00868
                  42,            0.040972,             0.05562,           0.0069243,             0.82761,             0.62753,             0.69988,              0.3474,            0.043922,            0.063595,             0.01235,            0.008647,            0.008647,            0.008647
                  43,            0.041534,            0.055771,           0.0058358,              0.8422,             0.61893,             0.72731,             0.37288,            0.045357,            0.065395,            0.012334,            0.008614,            0.008614,            0.008614
                  44,            0.039883,            0.058783,           0.0060151,             0.80097,             0.62045,             0.69051,             0.35789,            0.045209,            0.064677,            0.012662,            0.008581,            0.008581,            0.008581
                  45,            0.042704,            0.060443,           0.0061597,             0.81209,             0.60082,             0.69624,             0.36997,            0.042955,            0.064957,             0.01324,            0.008548,            0.008548,            0.008548
                  46,            0.039497,            0.057144,           0.0065391,             0.75332,             0.60549,             0.67827,             0.34153,            0.044948,            0.065154,            0.013353,            0.008515,            0.008515,            0.008515
                  47,            0.039718,             0.05801,           0.0068458,             0.75105,             0.61068,             0.67605,             0.36636,            0.044698,            0.065041,            0.012887,            0.008482,            0.008482,            0.008482
                  48,            0.041356,            0.054419,           0.0071787,             0.80639,             0.64714,             0.71438,             0.36781,            0.042444,            0.066366,            0.012583,            0.008449,            0.008449,            0.008449
                  49,            0.038554,            0.056167,           0.0065052,             0.72492,             0.64739,             0.70273,             0.35436,            0.042707,             0.06806,            0.013198,            0.008416,            0.008416,            0.008416
                  50,            0.038621,            0.061304,           0.0069109,             0.68228,             0.64479,              0.6841,             0.36571,            0.042538,             0.06969,            0.013576,            0.008383,            0.008383,            0.008383
                  51,            0.040417,            0.053346,            0.006804,             0.75123,             0.59751,             0.70036,             0.35357,            0.043393,            0.071096,            0.012524,             0.00835,             0.00835,             0.00835
                  52,            0.036345,            0.054726,           0.0060525,             0.75763,             0.62858,             0.71373,             0.37291,            0.042871,            0.070918,            0.013166,            0.008317,            0.008317,            0.008317
                  53,            0.039913,            0.062618,           0.0086059,             0.75826,             0.66061,             0.73871,             0.37332,            0.042187,            0.069485,            0.011723,            0.008284,            0.008284,            0.008284
                  54,            0.039339,            0.061291,           0.0053195,             0.72084,             0.62845,             0.69529,             0.37153,            0.044089,            0.068827,            0.012748,            0.008251,            0.008251,            0.008251
                  55,            0.040783,            0.054058,            0.005618,             0.81024,             0.60545,             0.70653,             0.35901,            0.045318,            0.070335,            0.011589,            0.008218,            0.008218,            0.008218
                  56,            0.043756,            0.057694,           0.0072656,             0.77839,             0.62798,             0.71567,             0.36971,            0.042767,            0.071964,            0.011604,            0.008185,            0.008185,            0.008185
                  57,            0.038447,            0.055997,           0.0063087,             0.76782,              0.6331,             0.72022,             0.38073,            0.043597,            0.072445,            0.010791,            0.008152,            0.008152,            0.008152
                  58,            0.037569,            0.053004,           0.0056804,             0.68545,             0.67909,             0.70257,             0.38547,            0.043906,            0.075151,            0.010557,            0.008119,            0.008119,            0.008119
                  59,            0.037755,              0.0595,           0.0048862,             0.68249,             0.66846,             0.70184,             0.35244,            0.045269,            0.073026,            0.010409,            0.008086,            0.008086,            0.008086
                  60,            0.039115,            0.057705,           0.0054576,             0.71167,             0.66046,             0.68364,             0.36582,            0.043063,            0.072841,             0.01101,            0.008053,            0.008053,            0.008053
                  61,            0.038397,            0.058461,           0.0047656,             0.74287,             0.67149,             0.71728,              0.3608,            0.043884,            0.072529,            0.010564,             0.00802,             0.00802,             0.00802
                  62,            0.039312,            0.060034,           0.0052306,             0.70921,             0.67956,             0.69886,             0.33423,            0.048186,            0.073411,            0.010674,            0.007987,            0.007987,            0.007987
                  63,            0.039323,             0.05958,           0.0053504,             0.72011,             0.66656,             0.69296,             0.35445,            0.044843,            0.074338,            0.011012,            0.007954,            0.007954,            0.007954
                  64,            0.040213,            0.060378,           0.0049384,             0.77926,               0.679,             0.73001,             0.37945,            0.043246,            0.074809,            0.011329,            0.007921,            0.007921,            0.007921
                  65,            0.036096,            0.056584,           0.0049895,             0.73495,             0.65746,             0.68648,             0.37354,            0.042963,            0.073087,            0.011244,            0.007888,            0.007888,            0.007888
                  66,            0.037811,            0.054711,           0.0051926,             0.74756,             0.70025,             0.71852,             0.37346,             0.04298,             0.06885,            0.010845,            0.007855,            0.007855,            0.007855
                  67,            0.039132,            0.055496,            0.004423,             0.76109,             0.72345,             0.73969,             0.37628,            0.042809,            0.070349,            0.010895,            0.007822,            0.007822,            0.007822
                  68,            0.036407,            0.051002,           0.0048875,             0.72763,             0.69537,             0.71041,             0.39188,            0.042037,            0.070481,            0.010805,            0.007789,            0.007789,            0.007789
                  69,            0.039549,            0.054189,           0.0036086,             0.68428,             0.69833,             0.71306,             0.37503,            0.043464,            0.068267,            0.010797,            0.007756,            0.007756,            0.007756
                  70,            0.034813,            0.054355,           0.0044482,             0.75733,             0.70241,             0.72262,             0.36046,            0.043807,             0.07053,            0.010645,            0.007723,            0.007723,            0.007723
                  71,            0.036898,            0.056426,           0.0046392,             0.74514,             0.73059,              0.7132,             0.37664,            0.044037,            0.071576,            0.010806,             0.00769,             0.00769,             0.00769
                  72,            0.038878,             0.06092,           0.0041734,             0.74747,             0.69616,             0.70891,             0.37217,            0.044036,            0.072234,            0.011525,            0.007657,            0.007657,            0.007657
                  73,            0.036313,            0.053341,           0.0048093,             0.76938,             0.67886,             0.71465,             0.38659,            0.043534,            0.073008,            0.011129,            0.007624,            0.007624,            0.007624
                  74,            0.038632,            0.057916,           0.0041837,             0.77583,              0.7288,             0.73949,              0.3764,            0.044082,            0.075062,            0.011186,            0.007591,            0.007591,            0.007591
                  75,            0.035334,             0.05492,           0.0036769,             0.77466,             0.70711,             0.73633,             0.36878,             0.04509,            0.074479,            0.011363,            0.007558,            0.007558,            0.007558
                  76,            0.038453,            0.049751,           0.0042221,             0.80854,             0.70562,             0.73828,             0.38284,              0.0427,            0.075338,            0.011428,            0.007525,            0.007525,            0.007525
                  77,            0.036383,            0.053526,           0.0048547,             0.81081,             0.66782,             0.71247,             0.38074,            0.044663,            0.074964,            0.010982,            0.007492,            0.007492,            0.007492
                  78,            0.037386,            0.055276,            0.004046,             0.76402,             0.69526,             0.71113,             0.37157,            0.045862,            0.076357,            0.011012,            0.007459,            0.007459,            0.007459
                  79,            0.036073,            0.060508,           0.0037642,             0.76085,             0.66444,             0.69795,             0.33592,            0.045786,            0.076934,             0.01196,            0.007426,            0.007426,            0.007426
                  80,            0.037154,            0.052763,           0.0050614,             0.76824,             0.69192,             0.71388,             0.37058,              0.0439,            0.077874,            0.011491,            0.007393,            0.007393,            0.007393
                  81,            0.034295,            0.056523,           0.0041104,             0.78252,             0.68943,             0.72595,             0.36903,            0.044674,            0.076823,            0.011609,             0.00736,             0.00736,             0.00736
                  82,            0.036584,            0.056696,           0.0046424,               0.801,             0.66403,             0.72304,             0.35876,            0.043909,            0.077119,            0.011318,            0.007327,            0.007327,            0.007327
                  83,            0.036961,            0.052599,            0.004138,             0.81506,             0.65818,             0.73199,             0.36136,            0.044483,            0.075433,            0.011192,            0.007294,            0.007294,            0.007294
                  84,            0.035552,            0.052896,            0.004157,             0.77057,             0.68002,              0.7053,             0.36912,            0.044921,            0.076089,            0.011605,            0.007261,            0.007261,            0.007261
                  85,            0.036342,            0.049512,           0.0035287,             0.75576,             0.68212,             0.69907,             0.36797,            0.043013,            0.075693,            0.011475,            0.007228,            0.007228,            0.007228
                  86,            0.034531,            0.050533,           0.0042243,             0.78433,             0.70948,              0.7279,             0.38431,            0.044971,            0.075484,            0.010759,            0.007195,            0.007195,            0.007195
                  87,            0.033355,            0.050582,           0.0041335,             0.81202,             0.68354,             0.72835,             0.37777,            0.044575,            0.078362,            0.010842,            0.007162,            0.007162,            0.007162
                  88,            0.035544,            0.054099,           0.0037606,             0.82995,             0.68186,             0.74462,             0.35139,            0.044933,            0.075692,             0.01075,            0.007129,            0.007129,            0.007129
                  89,            0.037211,            0.050951,           0.0041415,             0.77798,             0.68276,              0.7245,              0.3554,            0.045968,            0.071253,            0.010839,            0.007096,            0.007096,            0.007096
                  90,            0.036343,            0.054288,           0.0040047,             0.78349,             0.72846,             0.74518,             0.38437,            0.043794,            0.072675,            0.009675,            0.007063,            0.007063,            0.007063
                  91,            0.034305,            0.050375,           0.0042377,             0.78931,             0.69058,             0.73348,             0.38529,            0.044389,            0.072822,            0.010744,             0.00703,             0.00703,             0.00703
                  92,            0.035068,              0.0506,           0.0042004,             0.72738,             0.75887,             0.75926,             0.38203,            0.044354,            0.075403,            0.010542,            0.006997,            0.006997,            0.006997
                  93,            0.036005,            0.050026,           0.0034769,             0.76358,             0.71234,             0.72236,             0.35776,            0.044159,            0.078377,           0.0097367,            0.006964,            0.006964,            0.006964
                  94,              0.0345,            0.053134,           0.0045759,             0.78709,             0.74031,              0.7455,             0.37902,            0.043484,            0.078489,           0.0097801,            0.006931,            0.006931,            0.006931
                  95,            0.033302,            0.052416,           0.0038133,             0.77447,              0.7383,             0.74538,             0.38547,            0.044337,            0.077951,           0.0098784,            0.006898,            0.006898,            0.006898
                  96,            0.035411,            0.051735,           0.0041459,              0.7598,              0.7195,              0.7229,             0.36794,            0.042834,            0.076981,            0.010745,            0.006865,            0.006865,            0.006865
                  97,            0.034076,            0.052145,           0.0036596,             0.83017,             0.73661,             0.76094,             0.38509,            0.043339,            0.075618,            0.010465,            0.006832,            0.006832,            0.006832
                  98,             0.03466,            0.052608,           0.0030685,             0.79802,              0.7194,             0.73938,             0.37766,             0.04364,             0.07709,             0.01085,            0.006799,            0.006799,            0.006799
                  99,            0.035179,            0.056229,           0.0035401,             0.81028,             0.71374,             0.72646,             0.37505,            0.044072,            0.077962,            0.011145,            0.006766,            0.006766,            0.006766
                 100,            0.032588,            0.053166,           0.0030214,             0.76871,             0.71221,             0.73018,             0.38538,            0.044335,            0.076998,            0.011195,            0.006733,            0.006733,            0.006733
                 101,            0.034698,            0.052954,           0.0039701,             0.81416,             0.66856,             0.72363,             0.38069,            0.044548,            0.076929,            0.011559,              0.0067,              0.0067,              0.0067
                 102,            0.033974,            0.053539,           0.0036378,             0.76296,             0.70727,             0.73098,             0.37917,            0.044628,            0.076632,            0.011881,            0.006667,            0.006667,            0.006667
                 103,             0.03444,            0.049538,           0.0026045,             0.73733,             0.73866,             0.73367,              0.3778,            0.045079,            0.076344,            0.011917,            0.006634,            0.006634,            0.006634
                 104,            0.037126,            0.048918,           0.0038182,              0.7958,             0.74869,             0.76804,             0.38897,            0.044175,            0.074688,            0.010765,            0.006601,            0.006601,            0.006601
                 105,            0.032798,            0.049489,           0.0037104,             0.81239,             0.70893,             0.74729,             0.38165,            0.045958,             0.07436,            0.011136,            0.006568,            0.006568,            0.006568
